id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,has_review,estimated_revenue,minimum_nights_category,price_category,availability_category,month,season
12412325,61342849,Chatu Chak,13.82095,100.57613,Entire home/apt,705,2,2,2016-05-02,0.02,1,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),5.0,Low Season
13303952,75151017,Thon buri,13.71878,100.48749,Entire home/apt,1385,5,0,,0.0,1,364,0,0,1385,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
12966095,30377360,Bang Na,13.67301,100.60712,Entire home/apt,1243,90,5,2019-04-30,0.06,3,178,0,1,232441,Panjang (>30 hari),Sedang,Sedang (100-300 hari),4.0,Mid Season
12971078,19669460,Phra Nakhon,13.7523,100.50475,Private room,1600,1,5,2016-08-14,0.06,3,361,0,1,6400,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),8.0,Low Season
13305989,21267828,Suanluang,13.72091,100.61594,Private room,490,4,6,2017-10-08,0.08,2,210,0,1,75950,Pendek (1-7 hari),Rendah,Sedang (100-300 hari),10.0,Low Season
12414107,51377272,Thung khru,13.60304,100.50524,Private room,3300,2,0,,0.0,1,363,0,0,6600,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12973533,21546515,Vadhana,13.73056,100.57838,Entire home/apt,1247,28,33,2022-10-25,0.42,3,69,2,1,369112,Sedang (8-30 hari),Sedang,Rendah (<100 hari),10.0,Low Season
12975072,38297120,Din Daeng,13.7937,100.57354,Private room,1047,90,2,2017-03-30,0.03,1,358,0,1,7329,Panjang (>30 hari),Sedang,Tinggi (>300 hari),3.0,Mid Season
12414161,66868898,Din Daeng,13.78294,100.57354,Entire home/apt,960,1,257,2020-02-24,3.2,6,80,0,1,273600,Pendek (1-7 hari),Rendah,Rendah (<100 hari),2.0,High Season
13333771,75208031,Khlong Toei,13.72453,100.56275,Entire home/apt,900,60,0,,0.0,1,328,0,0,33300,Panjang (>30 hari),Rendah,Tinggi (>300 hari),,Unknown
12978510,4267552,Phra Nakhon,13.76369,100.49742,Hotel room,3000,1,12,2018-11-19,0.15,2,0,0,1,1095000,Pendek (1-7 hari),Tinggi,Rendah (<100 hari),11.0,High Season
13341267,4100838,Ratchathewi,13.755825996398926,100.54287719726562,Entire home/apt,1400,21,15,2022-11-29,0.19,3,347,3,1,25200,Sedang (8-30 hari),Sedang,Tinggi (>300 hari),11.0,High Season
12436002,42085763,Phra Nakhon,13.76879,100.50295,Private room,4871,1,0,,0.0,10,362,0,0,14613,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12978548,71444803,Sathon,13.70738,100.53714,Entire home/apt,5000,3,8,2018-02-12,0.11,4,358,0,1,35000,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),2.0,High Season
12437962,42085763,Phra Nakhon,13.76879,100.50295,Private room,4180,1,0,,0.0,10,361,0,0,16720,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12438762,42085763,Phra Nakhon,13.76879,100.50295,Private room,3724,1,0,,0.0,10,361,0,0,14896,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
12439216,42085763,Phra Nakhon,13.76879,100.50295,Private room,4416,1,1,2019-01-14,0.02,10,361,0,1,17664,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),1.0,High Season
